,Eval 1,Eval 2,Eval 3,Eval 4,Eval 5,Eval 6,Eval 7,Eval 8,Eval 9,Eval 10,Eval 11,Eval 12,Eval 13,Eval 14,Eval 15,Eval 16,Eval 17,Eval 18,Eval 19,Eval 20,Eval 21,Eval 22,Eval 23,Eval 24,Eval 25,Eval 26,Eval 27,Eval 28,Eval 29,Eval 30,Eval 31,Eval 32,Eval 33,Eval 34,Eval 35,Eval 36,Eval 37,Eval 38,Eval 39,Eval 40,Eval 41,Eval 42,Eval 43,Eval 44,Eval 45,Eval 46,Eval 47,Eval 48,Eval 49,Eval 50,Eval 51,Eval 52,Eval 53,Eval 54,Eval 55,Eval 56,Eval 57,Eval 58,Eval 59,Eval 60,Eval 61,Eval 62,Eval 63,Eval 64,Eval 65,Eval 66,Eval 67,Eval 68,Eval 69,Eval 70,Eval 71,Eval 72,Eval 73,Eval 74,Eval 75,Eval 76,Eval 77,Eval 78,Eval 79,Eval 80,Eval 81,Eval 82,Eval 83,Eval 84,Eval 85,Eval 86,Eval 87,Eval 88,Eval 89,Eval 90,Eval 91,Eval 92,Eval 93,Eval 94,Eval 95,Eval 96,Eval 97,Eval 98,Eval 99,Eval 100
Model 31,0,0.68609,0.287755,0,0.680459,0.249632,1,0.206223,0.924396,0.78043,0,0.14062,0.053449,0.501815,0.567512,0.117699,0.430107,0.584177,0,0.600173,0.356419,0.205678,0.427344,0.422639,0.567705,0.926654,0.828955,0.700045,0.26842,0.975409,0.41161,0.548354,0.677626,0.041509,0.62899,0.395695,0.4834,0.620638,0.767206,0.799953,1,0.51729,0.837381,0.736426,1,0.495589,0.721299,0,0.257545,0.338177,0.231526,1,0.367989,0.058755,0.095925,0.179283,0,0.204354,0.310993,0.216494,0,0.02025,0.337637,0,0.446012,0.187228,0.770867,0.292653,1,0.781268,1,1,0.321145,0,0.844514,0.888383,0.704424,0.71579,0.115645,0.150075,0.717488,0.512496,0,0.039329,0.593093,1,0.465253,0,0.179407,0,0,0,0.055692,0,0,1,0.70014,1,0.685084,0.324575
Model 32,1,0,0.246075,0.78678,1,0.954191,0.037326,1,1,0.39624,0,0.264323,1,0,0.372469,0.399959,0.61931,1,0.615762,1,0.613306,0.648998,0.292192,0.697199,0.876422,1,0.179038,0.366771,0,0.724547,0.685777,1,0.289212,1,1,0.499362,0.473539,0.356664,1,0.678583,0.860837,0.180002,0.038841,0.918666,0.414393,1,0.465701,0.709813,1,0,0,0.029817,0.76204,0,0,0.202826,1,1,0.21055,0.051075,0.769825,0.783321,0.882439,0.335545,1,0.264177,0.929176,0,0.508071,0.688695,0.951766,0,1,1,0.667504,0.340067,0.037334,0.028226,0.56341,0.368596,1,0,0.097256,0.195716,0.432678,0.695327,0.408592,0.285208,0.028636,1,0.937868,0.248184,0.221727,0.195434,0.871728,1,0,1,0.282955,0.143777
Model 33,0.44441,0,0,0.434937,0.041155,1,0.479873,0,0.149584,0.480407,0.191228,0.360793,0.704003,0.540409,0.514901,0.564753,0.271947,0.286118,0.010831,0,0.246086,0.886842,0.747964,0.144337,0.549468,0,0.834408,0,0.420924,1,1,0.426285,0,0.008914,0.07496,1,0.137643,0.399707,0.786556,0.639025,1,1,0.422877,0,0.538461,0.115024,0.298895,0.216758,0.739342,0.880053,0.466655,0.097437,0.540804,0.457629,0.216753,1,0.461553,0,0.930642,1,0.532723,0.488538,0,0.457328,0.637589,0.041652,0.237268,0.363739,0.645394,0.346934,0.218793,0.63259,0.439495,0.618397,0.31895,1,0.800899,1,1,0.996649,0,1,0.323667,0.50237,0.014532,0.717111,0.837115,0,0.742918,0.446466,0.19562,0.952617,0.182685,0.596266,0.928094,1,0,0.424576,0.483119,0
Model 34,0.727353,0,0.127623,0,0.930846,0.9276,0,0.692658,0.795386,0,0.723353,0.264453,0.692603,0.430394,0,0.847363,0.119237,0.727205,0.44511,0,0.662893,0.446526,0,0.533556,0.65576,0,0.958408,0.120334,0.75147,0.400809,0.882159,0.061954,0.414017,0,0.662284,0.272547,0.472933,0.421707,0.130852,0,0.898451,0,0.163921,0.717347,0.791143,0.862531,1,0,0,0.017859,0,0,0,0.377131,0.296748,0.741132,0,1,0.754522,0.377508,0.133606,0.375066,0.06949,0.791913,1,0.774302,0.686755,0.637412,0.303819,0,1,0.980057,0.604576,1,0.722635,0.494802,0.231262,0.569436,1,1,0.040122,0.493499,0.630927,0.89631,0.414568,0.157562,0,0.648598,1,0.348582,0.021586,1,0.330382,1,0,0.653791,0.475317,0.368959,1,0.015706
Model 35,0.065075,0.075852,0.416719,0.370481,1,0,0.507575,0.619539,0.672417,0.915412,0.912244,0.412101,0.864051,0.403599,0.173201,0.379186,0.641586,0.32663,0.551357,0.028973,1,0.274401,0,0.928293,0.510067,0.588947,0.153649,0,0.570024,1,0.25575,0.98024,0.928653,0.691216,0.136141,0.616346,0,0,0.222773,0,0.41309,0.739773,1,0.734307,0,1,0.932736,0.402238,0,0.66179,0.754478,0.60641,0.77929,0.531127,0.493461,0,0.800515,1,0.794041,0.420895,0.529236,0.453152,0.270534,0.492148,0.268339,0,0.311254,0,1,1,1,0.695499,0.572787,0.722024,0.644398,0.144617,0.659105,0.057029,0.041042,0.221555,0.610037,0.185786,0.814686,0.609168,0.382066,0.20689,0.693396,0.318652,0.642152,0.299374,1,0.473733,0.294819,0.060367,0,0.353973,0.461089,0.52654,0.127585,0.518447
Model 36,0.098243,0.67255,0.722568,0,1,0.044411,0.672273,0.172684,0.696806,0.270777,0.218796,0.921698,0.942476,0.138857,0.412621,0.494363,0,0.105376,0.284025,1,0.475889,0,0.108591,0.227903,0,1,0.024771,0.169722,0.1427,0.554201,0.290644,0.988264,0.376453,0.776525,0.370002,0.370473,0.776719,0.967315,1,1,0.714882,0,0.660457,0,0.128044,1,0.159697,0,0.447383,1,0.029488,0.069546,0.64887,0.560206,0.093735,0.110454,0.413516,0.662358,0,1,0.044551,0,0,0.221987,1,0.614821,0.745364,0.497298,0.826579,0.672232,0.904074,0.014511,0.587074,0.262785,0.446879,0.566541,0.592119,0.153374,0.704831,0,0.437372,0.726324,0.857366,0.874006,0.291597,0.436552,0,1,0,0.409676,0.067277,0.013067,0,0.873663,0.150778,1,0.867869,0.999802,0.875994,0.735426
Model 37,0.212598,0.527075,0.571349,0.424435,0.279873,0.14336,0.419168,0.950705,0.634907,0.208311,0.830147,0.423909,0.933006,0,1,0,0.53655,0.666067,0.532702,0.339745,0.856873,1,0.717572,0.412317,1,0.240731,1,0.43703,0.329501,0.515378,1,0.729658,0.461686,0.500109,0.556264,0,1,0.394989,0.271052,0.453205,1,0.707145,0.694691,0,0.359215,0.446151,0.082263,0.160355,0,0,0.331007,0.471372,0.440818,0.528906,0.162082,0,0.301686,0.283453,0.077735,0.317721,0.199898,1,0.341506,1,0.42879,0.710369,0.619156,0.900366,0.294328,0,0.907308,0.065581,0.795141,0.575262,0,0.575381,0.569229,0.339899,0.151928,0.12028,0.795684,0.994177,0.210488,0.753382,0.541339,0,0.240147,0,1,0.139102,0.979697,0.243166,0.87501,1,0.937263,0.866548,0,0.352901,0.062988,0.029745
Model 38,0.451844,1,0.909988,0,0.201188,0.548542,0,0,0.697556,0.0928,1,0.240591,0.933673,0.59983,0.568363,0.296836,0,0.526703,0.045436,0,1,0.09119,0.484162,0.679257,0.822257,0.113617,0.927656,0.039129,1,1,1,0.377556,0.22975,0.073652,0.081116,0.208132,0.411065,0,0.624933,0.047016,0.688915,0,0.335422,0.47214,0.86776,1,1,0,1,0.857339,0.79467,0.851967,0.780365,1,0.754897,0.753614,0.571993,0,1,0,0.266477,0.103498,0.300163,0.576008,0.67264,0.576471,0.662745,0.877605,0.475419,0.251363,0,0.750662,1,1,1,0.719104,0.169361,0.417391,1,0.49821,0.924153,0.482752,0.840542,1,0.533034,0.270814,0.420943,0,0.136021,0.799724,0.374946,0.758805,0.268359,0.756503,1,0.567963,0.40526,0.124814,0,0.005087
Model 39,0.464834,0.35653,0.994486,0.989176,0.967729,1,0,0,0.321151,0.43428,0.537003,0.381925,1,0.570292,0.184949,1,0.546774,0.41189,0.120054,0.468701,0,0.918053,0,0.661814,0,1,0.080965,0,0.487785,0.593016,0.812897,1,0.529806,0.449926,0.973971,0.373209,0.50697,0.219454,0.399033,0,0.850053,0.14389,1,1,1,0.640871,0.198161,0,0.629904,0.56338,0.877262,1,0.286606,1,0.505024,0.431592,0.441409,1,1,0,0.132892,1,0.747377,0.384893,0.768746,0.541389,0,0.064229,1,0.437082,0.686908,0.920165,0,0.104992,1,0.166008,0.318107,0,1,0.484892,1,0.40543,0.58117,0.569018,0.350947,0.024426,0.555745,0,0.637445,0.666353,0.765536,0.688729,1,0.54326,0.325086,0.128809,0.668387,0.293882,0.398715,0
Model 40,0.079103,0,0.966663,0.640337,0.462618,0.476385,0.405966,0.5098,1,0,0.685569,0.095373,0.296497,0,0.075267,0.716162,0.28601,0.079789,0.103151,0.862343,0.374116,0.599753,0,1,0.426106,1,1,0.331645,0.395149,1,0.8975,1,0.744377,0.553387,0.592031,1,0.925156,0.184185,0.66942,0.773422,0.240223,0.159709,0.148472,1,0.835845,0.241537,0,0,0.938592,0.641605,1,1,0.241427,0.683119,0.396052,1,0.384894,0.730499,0.961228,0.271408,0,0,0,0.053854,0.171136,0.648833,0.045235,0.613807,1,1,0.772223,0.480195,0.114123,0,0.572112,0.346497,0.846024,0.124789,1,0.195936,0.225081,0.542735,0.608392,0,0.632647,0.286144,0,0,0.444509,0.116304,0.156064,0.154917,0.27749,0.638046,0,0.19418,0.462638,1,0.216817,0.99372
Model 41,0,0.224598,0,0.438118,0.669742,0,1,0.210413,0.656402,0,0.155588,1,0.366807,0.307176,0,0.004889,0.455762,0.482908,0.364372,0.997284,0.871688,0,0.478159,0.784884,0.23006,0.691179,0.554854,0.223417,1,0.384488,0.876951,0.705214,0.485747,1,0.84044,0.378359,0.13192,0.727094,0.922106,0.606543,1,0.069229,0.289719,0.44949,0.956651,0.895238,0.692863,0,0.707377,0,0.827326,1,0.73962,0.103494,0.740812,0.150345,0.358454,0.110988,0,0,0,0.149665,0.720692,0.146438,0.841427,0.659476,0.684242,1,1,0.476767,0.99186,0.86127,0.838633,0.529934,0.740753,0.250614,0.316101,0.652998,0.940694,0,0.342348,0.421234,0.475663,0.096164,0.125444,1,0,0.212408,0.662665,0,0,0.162739,0.124273,0.701879,0,0.579981,0.294937,1,0.684669,0.285082
Model 42,0.278128,0.573647,0.308152,0.90094,0.819166,0.761516,1,0.604084,0.831341,0.0028,0.298272,0.556968,0.556526,0,1,1,0.382166,0.58975,0.531264,0,0,0,1,0.996369,0.493351,1,0.504387,0.468198,0.401026,0.275328,0.417845,1,1,1,0.24686,0.73379,1,0,0.951483,0.936867,0.671634,0.195315,0.75908,0.498377,0.286274,1,1,0,0.890239,0.004086,0.40487,0,1,0.229758,0,0.283558,0.737102,0.914388,0.982646,0.427657,0,0.958803,0.427333,0,0.266917,0.638198,0.476203,1,0,0.758868,0.800434,0.218732,0.896793,1,0.517442,0,0.421997,1,0,0.05681,0.162137,0.116348,0.273644,0.02144,0.736826,0,0.459391,0,0.285336,0.431473,0.332001,0.158879,1,0.168025,0.21685,1,0.878895,0.938155,0,0.749372
Model 43,0.388481,1,0.20378,0.629645,0.164858,0.486118,0,0.866242,1,0.479252,0.842541,0,1,0.479529,0.902175,1,0.780925,0,0.365365,0.900185,0.984104,0.688356,1,1,0.078185,0.511826,1,0,0.516786,0.702735,1,0.537437,0,0.757321,0,0.577625,0.480036,1,0.431038,0,0.011459,0.648929,0.710231,0.558361,0.754947,1,0.783108,0.1294,0.695627,0,0.429031,0,0.414806,0,0.887884,0,0.4966,0,0.570791,0.488271,0.87512,0.934711,0.901384,0.987982,1,0.17723,0.110862,0.244428,0.567847,0.713924,0.058361,1,0.049589,1,0,1,0.72786,0.566431,1,0.47061,0,0.711841,0.221136,0.652972,0.223789,0.420848,0.650384,0.749333,0.842466,0,0.588766,0.754869,0.28284,0.343392,0.096627,0.767961,1,0.007973,0.393223,0.331712
Model 44,0.336232,0.9003,0.336642,0.376175,1,0,0.108529,0,1,1,0.207825,1,1,0.717463,0.117932,0.777255,0.31667,0.475002,0.665217,0.824592,0.524719,0.758316,0.002276,0.885724,1,0.624216,0.277292,0.137574,1,1,0.708116,0.958525,0,0.559033,0.765512,0,0,0.313074,0.747559,0.167212,0.540735,0,0.468736,0.126069,0.59895,0.427914,0.736854,0.666682,0,0.834152,0.406022,0.739294,0.591296,0.636647,0.575731,0.718168,0.199769,0.536799,0.998526,0,0.218629,0.215051,0.273447,0.051393,0.898926,0,0.155781,1,0.397143,0.223964,0.407979,0.433454,0.106483,0.211673,0.374017,0.820646,0.736473,0.426258,0.482006,0.732529,0.197827,1,1,0.441769,0,0,0.087501,0,0.769029,0.238006,0,0.998647,1,0.769146,0,0.61804,0.442814,0.054355,0.630371,0
Model 45,0,0.800854,0.442477,0.039319,1,0.554285,0.160603,0.076544,1,0.725269,0.65413,0.630074,0.496973,0,0.234831,1,1,0.618192,0.129249,0.123879,0.140241,0.980685,0,0.330801,0.56769,0.900743,0.5526,0.450665,0.358871,0.86815,1,1,0.127366,1,1,0.135472,0.319409,0,0.584602,0.462151,1,0.294955,0.92813,1,0.574678,0,0.825137,0.750801,0.988151,0,1,0.883485,0,0.097184,0.853946,0,0.358923,0.226822,0.906582,0.441543,0,0.695805,0.745396,0.811725,0.242716,0.765443,0.829404,0.627371,1,0.392551,0.42478,0.501725,0.317131,0.535481,0.564802,1,1,0.517718,1,0.833064,0.290552,0.131936,1,0.376494,0.520441,0.527507,0.152001,0.460667,0.790469,0.189256,0,0,0.070507,0.120753,0.123336,0.349601,0.953258,0.543353,0,1
Model 46,0.008152,0,0,0.494899,0.942365,0.43137,0.537247,0.286519,1,0.499272,0.724458,0,0.726502,0.622392,0,0.848035,0.056342,0,0.290379,0,0.970755,0.629341,1,0.118857,0.363436,0.95142,0.412669,0,0.104731,0.766281,0.125202,0.99933,0.542885,0.622099,0.261218,1,0.735286,0.529816,0.344271,1,0.048198,0.418297,0.465792,0.733435,0,1,0.058648,0,0.501168,0.02508,0.802173,0.143612,1,0.426561,0.111949,0.094649,0,0.489664,0.218929,0.408682,0.333001,0.130774,0.86224,0.272627,0.484392,0.534226,1,0.45376,0.465089,0.531376,1,0,0.922023,0.501684,0.524257,0.21855,0.621656,0.473171,0,0.698648,0.534553,0,0.016593,0.740796,0.578874,0.363365,0,1,0.132336,0.654009,0,0,0.239206,0.688101,0.799639,0.524016,0,0.552428,0,0.632581
Model 47,1,0.141892,0,0.082915,0.778916,0.94129,0.626522,0,0.580901,0.283413,0.29587,0.198636,0.678482,0,0.749588,0.563869,0,0.601092,0,0.652125,0.320044,0.12971,0.528963,0.435275,1,0.695168,0.335353,0.479909,0,0.577426,0.293821,0.234725,0.869895,1,0,0.765457,0.91252,1,0.837611,0.531567,0.821878,0,0.076735,1,0.585236,1,0.054526,0.784422,0.313285,0,0.485253,0,0.06855,0.66288,0.6698,0.882321,0.244379,0.591135,0.903113,0.617687,1,0.9576,0.569716,0.097057,0.868741,0,0.013945,0.305434,0.184791,0.373557,0,0.407974,0.605153,0.272505,0.160486,0.296938,0.386046,0.426333,0.46348,0.444176,0.296527,0.009248,0,0,0,0,0.505773,0.231012,0.278875,0.572485,1,0,0.473598,0.288538,0.721654,1,0.395748,0.559926,0.476947,0.407165
Model 48,0.635866,0.795383,0.367629,0.153716,0.027982,0.313284,0.856169,0,0.707491,0,0.348175,0.610102,0.413365,0.461432,0,0.385092,0.816117,0.913845,0.676785,0.722556,0.585634,0.342373,0.205252,0,0,0,1,0.292153,0.688708,0.676159,0.295498,1,0,0,0.687821,1,0.839494,1,0.796111,0,0.716632,0,0.462568,0.663102,0.121887,1,0.191457,0.425172,0,1,0.925259,0.737814,0.903246,0.399197,0.989596,1,0.506305,0.960379,0.402358,0.168956,0,1,0.141553,0.295134,1,0.660771,0.640806,0.264036,0.894133,0.10676,0.367182,1,0.471447,0.838907,1,0.231828,0.984326,0.337426,1,0.694566,0.272276,0.590591,1,0,0,0,0.090701,0.450109,0.726699,0.182593,0,0.844978,0.031825,0.251802,0.501234,0.027887,0.386281,0.534275,0.870356,0
Model 49,0,0.599183,0.55081,0,1,1,0.719663,0.714685,0.799209,0.274982,1,0.351303,0.738922,0,0,1,0.875873,0.723879,1,0,0,0.029677,0,0,0.901793,0.065907,0.834779,0.141863,0.766323,0.961137,0.049894,0.484587,1,0.503053,0.993374,0.440876,0.07119,0.147634,0.91047,0.515328,0.42788,0.344908,0.281766,0.109155,0.116364,1,0.224984,0.847522,0,0.027083,0.353826,0.774147,0.515603,1,0.202741,0.546258,0.434215,0.976792,1,0.13319,0,0.745371,0,0.749039,0.480871,0.008627,0.273885,0,0.391233,1,0.864154,0.136175,0.274668,0.324657,1,0.376194,0.519726,0.351228,1,1,0,1,1,1,0.247767,1,0,0.074475,1,1,1,0.658592,0.817995,1,0.546362,0.828601,0.766232,0.992673,0.070615,0.67066
Model 50,0,0,0.339459,0.184784,1,0.055251,0.371179,0.049848,0.825841,1,0.294509,0.189059,0.651648,0.311673,0,0.313419,0,0,0.612881,0,0.784298,0.067614,0,0,0.293136,0.708959,0.657185,0,0.973095,0.527086,0.23507,1,0,0.005757,1,1,1,0.885322,0.909469,0.447794,0.785329,1,0.706709,0.953808,0.809508,0.973968,0.319756,0.53946,0.90951,0.149622,0.726749,1,0.665329,0,0.098136,0.518829,0,0.991077,0.363675,0.100213,0.092328,0,0.752491,0.15687,0.085185,0.613309,0.893539,0.612204,0.931801,0.070292,0.755186,0.618719,0.410481,0.607585,0.534498,0.239294,1,1,0.056607,0.190894,0,0.421117,0.366015,0.211596,0.281394,0.402911,0.218384,0,0.693999,1,0,0.909829,0.41791,0.809152,0.383152,0.248783,0.349524,1,0.555488,0.838098
